category,category_name,from_species,from_closure,difference,relative
0,kCentralGround,2528170.0,2528170.0,0.0,0.0
2,kMultiplyHeavy,2826.0,2826.0,0.0,0.0
4,kExcludedVector,1865738.0,1865738.0,0.0,0.0
5,kExcludedExcited,269475.0,269475.0,0.0,0.0
