observable,total,share_pct
D0 (104),1186155.0,25.424622522628923
Dbar0 (97),1183911.0,25.376523536458667
D+ (101),437625.0,9.380266855061507
D- (100),436139.0,9.348415209139493
Lambda_c+ (124),238554.0,5.113282329259852
Lambda_cbar- (77),237154.0,5.083274049117982
D_s+ (107),191416.0,4.10290353688307
D_s- (94),188899.0,4.04895293608515
Bbar0 (91),65655.0,1.4072811662246518
B0 (110),65604.0,1.406188007448055
B+ (113),65511.0,1.4041946002672023
B- (88),65101.0,1.3954064610827974
Lambda_bbar0 (54),50499.0,1.0824200992030872
Lambda_b0 (147),50491.0,1.0822486233165622
Xi_c+ (131),32517.0,0.6969851752665753
Xi_c0 (126),32091.0,0.6878540843091204
Xi_cbar0 (75),31743.0,0.6803948832452841
Xi_cbar- (70),31367.0,0.6723355165786102
B_sbar0 (85),15627.0,0.33495670984072246
B_s0 (116),15353.0,0.3290836607272421
Xi_b- (148),6601.0,0.14148904086891975
Xi_b0 (154),6558.0,0.14056735797884803
Omega_c0 (136),6447.0,0.13818813005331398
Xi_bbar0 (47),6387.0,0.13690206090437668
Xi_bbar+ (53),6239.0,0.13372975700366466
Omega_cbar0 (65),5905.0,0.12657063874124697
UNMAPPED/kMultiplyHeavy,2630.0,0.05637269769508544
Omega_b- (160),1279.0,0.027414707358180333
Omega_bbar+ (41),1096.0,0.023492196453921536
UNMAPPED/kExcludedExcited,825.0,0.017683450797888016
