observable,total,share_pct
D0 (104),1524108.0,28.389565152601726
Dbar0 (97),1519494.0,28.30362015814326
D+ (101),554845.0,10.33509979417161
D- (100),554475.0,10.328207802851795
D_s- (94),228934.0,4.264354434623875
D_s+ (107),228911.0,4.263926013541831
Bbar0 (91),115661.0,2.15441785957102
B0 (110),114834.0,2.1390133276210523
B+ (113),114651.0,2.135604585968278
B- (88),114246.0,2.1280606495236145
Lambda_c+ (124),87405.0,1.6280932467798568
Lambda_cbar- (77),86192.0,1.6054986914529994
B_sbar0 (85),26035.0,0.48495403786869823
B_s0 (116),25986.0,0.48404131469391176
Xi_c0 (126),11786.0,0.21953786404150097
Xi_c+ (131),11691.0,0.2177682987026292
Xi_cbar- (70),11573.0,0.2155703122817148
Xi_cbar0 (75),11557.0,0.21527228022464168
Lambda_b0 (147),10677.0,0.19888051708561902
Lambda_bbar0 (54),9398.0,0.17505657952333498
Xi_b- (148),1434.0,0.026711123115180077
Xi_b0 (154),1425.0,0.026543480083076436
Xi_bbar0 (47),1296.0,0.024140596622924254
Xi_bbar+ (53),1272.0,0.023693548537314545
Omega_c0 (136),303.0,0.005643982080822569
Omega_cbar0 (65),288.0,0.0053645770273165
Omega_b- (160),47.0,0.0008754691676523456
Omega_bbar+ (41),26.0,0.0004843020927438508
