semantic_id,tune_id,signed_pdg,component,quantity,unit,value_hex,status,uncertainty_status
040b544a325f8c7e5dc20c6faafb8e9fb91514b50891d5b04b772b71507aea95,CLOSEPACKING,-4112,beauty_plus_antibeauty_constituent_count,raw_weighted_sum,weighted_count,0x0.0p+0,AVAILABLE,WITHHELD_UNCERTAINTY
04f0776fa7f20fcacb3470882e3357671b454dba2eb1b44c79933a8c8bc6f6d5,JUNCTIONS,-4112,beauty_plus_antibeauty_constituent_count,raw_weighted_sum,weighted_count,0x0.0p+0,AVAILABLE,WITHHELD_UNCERTAINTY
0c70fc721b00029fbbbe26b8001da29b7efb4a930a53323ba9d923fe19bb116c,MONASH,-4112,beauty_plus_antibeauty_constituent_count,raw_weighted_sum,weighted_count,0x0.0p+0,AVAILABLE,WITHHELD_UNCERTAINTY
62d2d17f89ccd0617682d85031824091fc18307ffdb4f28a2a6aa403f3e89245,CLOSEPACKING,-4112,charm_plus_anticharm_constituent_count,raw_count,count,0x1.b477e00000000p+20,AVAILABLE,WITHHELD_UNCERTAINTY
8068ec38a0bac39db4652d280c69db8d99b0eb1a9a339b36a085975ea11964b9,JUNCTIONS,-4112,charm_plus_anticharm_constituent_count,raw_count,count,0x1.83a4a00000000p+21,AVAILABLE,WITHHELD_UNCERTAINTY
511ebf003bbcf3e863439846cd900891bdc0fa0edc6f12784bd2e3cfcb5f7746,MONASH,-4112,charm_plus_anticharm_constituent_count,raw_count,count,0x1.1a86000000000p+17,AVAILABLE,WITHHELD_UNCERTAINTY
bf9739986851f974a1075cd73911ebd8b603cc8ed4991e95fe1ad5ddb1f955fa,CLOSEPACKING,-4112,charm_plus_anticharm_constituent_count,raw_weighted_sum,weighted_count,0x1.b477e00000000p+20,AVAILABLE,WITHHELD_UNCERTAINTY
dd483cfa0090c2e97ec867b49acf8f8064ae62b526ff29b5691ad8a6213cab5e,JUNCTIONS,-4112,charm_plus_anticharm_constituent_count,raw_weighted_sum,weighted_count,0x1.83a4a00000000p+21,AVAILABLE,WITHHELD_UNCERTAINTY
186a071b7db41caf4e7359c5fdc5f01bbaf2c9a83ad88a1cb6b51a5300e76caa,MONASH,-4112,charm_plus_anticharm_constituent_count,raw_weighted_sum,weighted_count,0x1.1a86000000000p+17,AVAILABLE,WITHHELD_UNCERTAINTY
5f3e68f82bff8d5ae5f5ece89a19e1566163811bdf12326f53317ae8a1dc91f9,CLOSEPACKING,-4112,hadron_count,normalized_yield,per_event,0x1.24e8ad2816ca7p-6,AVAILABLE,AVAILABLE
b45b2b1ff666207edd955ca54330819164dd901aa0bddb710334040e075ab030,JUNCTIONS,-4112,hadron_count,normalized_yield,per_event,0x1.0424925b8cc3ap-5,AVAILABLE,AVAILABLE
9c5db5abc28456957a1ffc77d2656c089755a348e5f62e83020b4604ed3aed39,MONASH,-4112,hadron_count,normalized_yield,per_event,0x1.7b32505f3dfe1p-10,AVAILABLE,AVAILABLE
e68001315bcb3eb360aedc92c83a67523da589be29174d60bb386093f68bc239,CLOSEPACKING,-4112,hadron_count,raw_count,count,0x1.b477e00000000p+20,AVAILABLE,WITHHELD_UNCERTAINTY
7179fafc372957911fa5d3211258997213037dba50da37fe6eb901a46e7e57cc,JUNCTIONS,-4112,hadron_count,raw_count,count,0x1.83a4a00000000p+21,AVAILABLE,WITHHELD_UNCERTAINTY
6ed2dfeb2449aa41853782fe023ccedc255dd1534e23fbf0b77cf75c179c7e52,MONASH,-4112,hadron_count,raw_count,count,0x1.1a86000000000p+17,AVAILABLE,WITHHELD_UNCERTAINTY
43e6f9558dc785e8aab06d29623cf2ed50b6881f2c4e50e5c9b62317f772bb43,CLOSEPACKING,-4112,hadron_count,raw_weighted_sum,weighted_count,0x1.b477e00000000p+20,AVAILABLE,WITHHELD_UNCERTAINTY
ec2166df616e4bbdbd50a63576e5374396b61d09429f0afc537e9924f560ab50,JUNCTIONS,-4112,hadron_count,raw_weighted_sum,weighted_count,0x1.83a4a00000000p+21,AVAILABLE,WITHHELD_UNCERTAINTY
231536fb34e5a0bec416d2db47b9c2ce2b1f70d0b56ca2628565b2db6920d9b9,MONASH,-4112,hadron_count,raw_weighted_sum,weighted_count,0x1.1a86000000000p+17,AVAILABLE,WITHHELD_UNCERTAINTY
d67d847c5d4efc6056b787789299713e4555ee419a56d1fc3e95de3c25c4fb37,CLOSEPACKING,-4114,beauty_plus_antibeauty_constituent_count,raw_count,count,0x0.0p+0,AVAILABLE,WITHHELD_UNCERTAINTY
ac1c19b68e698e0b5acfb675e3660efaa7b3d354dcc2bbe63a8be0dfb2ce9007,JUNCTIONS,-4114,beauty_plus_antibeauty_constituent_count,raw_count,count,0x0.0p+0,AVAILABLE,WITHHELD_UNCERTAINTY
0a88f757927381d7310c7c38ca31f2ec7317114c53b037195db5c20e5da5cae9,MONASH,-4114,beauty_plus_antibeauty_constituent_count,raw_count,count,0x0.0p+0,AVAILABLE,WITHHELD_UNCERTAINTY
16d24d56050101ba000869e4c697686fab2053798b224748105b884962541f79,CLOSEPACKING,-4114,beauty_plus_antibeauty_constituent_count,raw_weighted_sum,weighted_count,0x0.0p+0,AVAILABLE,WITHHELD_UNCERTAINTY
fd0d0cc277a56bab06ef5730be8847c5ffcb54c5721079678f06d455b119998f,JUNCTIONS,-4114,beauty_plus_antibeauty_constituent_count,raw_weighted_sum,weighted_count,0x0.0p+0,AVAILABLE,WITHHELD_UNCERTAINTY
d71ef450b6c4ec96d2486af2938d9024e9b3937c769ad86b8600e7fd2bac9f86,MONASH,-4114,beauty_plus_antibeauty_constituent_count,raw_weighted_sum,weighted_count,0x0.0p+0,AVAILABLE,WITHHELD_UNCERTAINTY
71233f7d5083fe17fe73c424bac1bb28a3548dc8784058425bb9418fea491dcc,CLOSEPACKING,-4114,charm_plus_anticharm_constituent_count,raw_count,count,0x1.83dd400000000p+20,AVAILABLE,WITHHELD_UNCERTAINTY
ab37848061cc1215c83f3d2d4d795e933e65a4b1b3efc5b0219efecfd2c11cc3,JUNCTIONS,-4114,charm_plus_anticharm_constituent_count,raw_count,count,0x1.0d64a00000000p+19,AVAILABLE,WITHHELD_UNCERTAINTY
f41ffa6a589ab9ce1851f3894b0b45b5a11492c77f2bdb9b4a0ade8a9304a1cb,MONASH,-4114,charm_plus_anticharm_constituent_count,raw_count,count,0x1.177e000000000p+18,AVAILABLE,WITHHELD_UNCERTAINTY
5116ce88af18588dbddb9e268220f797b4b9af58e94194685638927258f45527,CLOSEPACKING,-4114,charm_plus_anticharm_constituent_count,raw_weighted_sum,weighted_count,0x1.83dd400000000p+20,AVAILABLE,WITHHELD_UNCERTAINTY
77abc12dbf8102e41ad7cdfb70bcee073fb7880256e239f41bd116abc3ba2f8a,JUNCTIONS,-4114,charm_plus_anticharm_constituent_count,raw_weighted_sum,weighted_count,0x1.0d64a00000000p+19,AVAILABLE,WITHHELD_UNCERTAINTY
e08ff4ec0eaf5727f5e6274cf4d4cdf994621eb796fb424f9ab84cce33d9271a,MONASH,-4114,charm_plus_anticharm_constituent_count,raw_weighted_sum,weighted_count,0x1.177e000000000p+18,AVAILABLE,WITHHELD_UNCERTAINTY
