category,category_name,from_species,from_closure,difference,relative
0,kCentralGround,2529273.0,2529273.0,0.0,0.0
2,kMultiplyHeavy,2896.0,2896.0,0.0,0.0
4,kExcludedVector,1866394.0,1866394.0,0.0,0.0
5,kExcludedExcited,268566.0,268566.0,0.0,0.0
