observable,total,share_pct
D0 (104),1184842.0,25.38695630654306
Dbar0 (97),1183425.0,25.356595028763937
D- (100),438069.0,9.386262946663784
D+ (101),437827.0,9.3810777460833
Lambda_c+ (124),238732.0,5.115178946200116
Lambda_cbar- (77),237750.0,5.094138173596659
D_s+ (107),190902.0,4.09035190585047
D_s- (94),190006.0,4.071153807833467
B- (88),65682.0,1.4073320021794984
B0 (110),65475.0,1.4028967273028021
Bbar0 (91),65378.0,1.400818361780872
B+ (113),65349.0,1.400196994769161
Lambda_bbar0 (54),50471.0,1.0814142913127107
Lambda_b0 (147),50298.0,1.077707515691124
Xi_c+ (131),32346.0,0.6930599089933018
Xi_c0 (126),32287.0,0.6917957485212001
Xi_cbar0 (75),31723.0,0.6797112314658541
Xi_cbar- (70),31664.0,0.6784470709937522
B_sbar0 (85),15467.0,0.33140288172878873
B_s0 (116),15430.0,0.33061010312764016
Xi_b- (148),6589.0,0.14117887035048743
Xi_b0 (154),6549.0,0.14032181240329977
Xi_bbar0 (47),6363.0,0.13633649294887715
Xi_bbar+ (53),6343.0,0.13590796397528332
Omega_c0 (136),6315.0,0.13530802341225195
Omega_cbar0 (65),5797.0,0.12420912299617173
UNMAPPED/kMultiplyHeavy,2896.0,0.06205099537638664
Omega_b- (160),1259.0,0.026975898887731622
Omega_bbar+ (41),1115.0,0.023890490277856044
UNMAPPED/kExcludedExcited,780.0,0.016712629970159387
