category,category_name,from_species,from_closure,difference,relative
0,kCentralGround,2695740.0,2695740.0,0.0,0.0
2,kMultiplyHeavy,2166.0,2166.0,0.0,0.0
4,kExcludedVector,1847188.0,1847188.0,0.0,0.0
5,kExcludedExcited,82283.0,82283.0,0.0,0.0
