category,category_name,from_species,from_closure,difference,relative
0,kCentralGround,28170567.0,28170567.0,0.0,0.0
2,kMultiplyHeavy,8.0,8.0,0.0,0.0
4,kExcludedVector,24950103.0,24950103.0,0.0,0.0
5,kExcludedExcited,541738.0,541738.0,0.0,0.0
