category,category_name,from_species,from_closure,difference,relative
0,kCentralGround,2816275.0,2816275.0,0.0,0.0
4,kExcludedVector,2493971.0,2493971.0,0.0,0.0
5,kExcludedExcited,53959.0,53959.0,0.0,0.0
