observable,total,share_pct
D0 (104),1183940.0,25.547458643494984
Dbar0 (97),1182980.0,25.526743438081063
D+ (101),437474.0,9.439962263800805
D- (100),435427.0,9.395791403923416
Lambda_c+ (124),261539.0,5.643577196615567
Lambda_cbar- (77),258106.0,5.569498758921834
D_s- (94),161722.0,3.489692135364373
D_s+ (107),161606.0,3.4871890480435246
Bbar0 (91),69262.0,1.4945589139363056
B+ (113),69155.0,1.4922500316662124
B- (88),69062.0,1.490243246141739
B0 (110),68878.0,1.4862728317707379
Lambda_b0 (147),55080.0,1.188534910623599
Lambda_bbar0 (54),54373.0,1.1732790249698064
Xi_c+ (131),26549.0,0.5728833213897228
Xi_cbar- (70),26393.0,0.5695171005099608
Xi_c0 (126),26314.0,0.5678124117311072
Xi_cbar0 (75),26292.0,0.5673376882737048
B_s0 (116),13952.0,0.3010609853489552
B_sbar0 (85),13598.0,0.2934222533525726
Xi_b- (148),5581.0,0.12042870980737665
Xi_b0 (154),5580.0,0.1204071314684038
Xi_bbar0 (47),5418.0,0.11691144055480499
Xi_bbar+ (53),5409.0,0.1167172355040495
Omega_c0 (136),3234.0,0.06978434823813941
Omega_cbar0 (65),3141.0,0.06777756271366601
UNMAPPED/kMultiplyHeavy,2026.0,0.04371771475895809
Omega_bbar+ (41),755.0,0.01629164592448833
Omega_b- (160),741.0,0.01598954917886868
UNMAPPED/kExcludedExcited,690.0,0.014889053891254235
