observable,total,share_pct
D0 (104),1185312.0,25.59238329328514
Dbar0 (97),1180074.0,25.479288256965397
D+ (101),436568.0,9.426054565872029
D- (100),435929.0,9.412257748726493
Lambda_c+ (124),260882.0,5.632771910112117
Lambda_cbar- (77),257825.0,5.566767418697559
D_s- (94),161601.0,3.4891697144533858
D_s+ (107),161472.0,3.4863844415085126
B- (88),69222.0,1.494590416976951
B+ (113),69001.0,1.4898187478233307
Bbar0 (91),68854.0,1.4866448321419634
B0 (110),68807.0,1.4856300427744513
Lambda_b0 (147),55357.0,1.1952275535609067
Lambda_bbar0 (54),54461.0,1.1758817817887628
Xi_cbar0 (75),26805.0,0.5787538084289269
Xi_c0 (126),26488.0,0.5719093780140054
Xi_c+ (131),26319.0,0.5682604545435899
Xi_cbar- (70),26122.0,0.5640069757052948
B_s0 (116),14024.0,0.3027958742550744
B_sbar0 (85),13963.0,0.3014788072036227
Xi_b- (148),5543.0,0.1196803715770021
Xi_bbar0 (47),5518.0,0.11914058999853827
Xi_bbar+ (53),5485.0,0.118428078314966
Xi_b0 (154),5477.0,0.11825534820985757
Omega_c0 (136),3150.0,0.06801247888644356
Omega_cbar0 (65),3088.0,0.06667382057185324
UNMAPPED/kMultiplyHeavy,2108.0,0.0455143826960708
UNMAPPED/kExcludedExcited,701.0,0.015135475460126011
Omega_b- (160),692.0,0.014941154091879029
Omega_bbar+ (41),655.0,0.014142277355752549
