observable,total,share_pct
D0 (104),1186224.0,25.606833186147032
Dbar0 (97),1182060.0,25.516945565101498
D+ (101),435835.0,9.408302429966339
D- (100),434711.0,9.384038816600542
Lambda_c+ (124),261679.0,5.6488239163242095
Lambda_cbar- (77),257802.0,5.565131719687915
D_s- (94),162337.0,3.5043435969425256
D_s+ (107),161332.0,3.4826488180878763
B- (88),69217.0,1.4941766248579855
Bbar0 (91),68937.0,1.4881323083611677
B0 (110),68906.0,1.4874631161775915
B+ (113),68680.0,1.4825844892908744
Lambda_b0 (147),54691.0,1.1806061197409319
Lambda_bbar0 (54),54367.0,1.1736119820803286
Xi_c+ (131),26626.0,0.5747713251581075
Xi_cbar- (70),26523.0,0.5725478801610637
Xi_cbar0 (75),26156.0,0.5646255081813062
Xi_c0 (126),26145.0,0.5643880528903598
B_s0 (116),13868.0,0.2993663613495318
B_sbar0 (85),13588.0,0.293322044852714
Xi_b0 (154),5717.0,0.12341199075824008
Xi_b- (148),5590.0,0.12067046149004058
Xi_bbar+ (53),5459.0,0.11784258484331513
Xi_bbar0 (47),5436.0,0.11734608741679081
Omega_c0 (136),3215.0,0.06940170549024696
Omega_cbar0 (65),3139.0,0.06776110529825356
UNMAPPED/kMultiplyHeavy,2001.0,0.0431952761076156
UNMAPPED/kExcludedExcited,757.0,0.016341241386039485
Omega_b- (160),746.0,0.016103786095093074
Omega_bbar+ (41),707.0,0.015261899154464883
