observable,total,share_pct
D0 (104),1186700.0,25.612569259909627
Dbar0 (97),1179979.0,25.467509785741047
D+ (101),436890.0,9.429405396445535
D- (100),435889.0,9.40780079390979
Lambda_c+ (124),262142.0,5.657815902023451
Lambda_cbar- (77),258538.0,5.58003069968696
D_s- (94),162138.0,3.4994276183224295
D_s+ (107),162128.0,3.4992117881272673
B+ (113),68663.0,1.4819548690428708
B0 (110),68547.0,1.4794512387789882
B- (88),68264.0,1.4733432442558951
Bbar0 (91),68155.0,1.4709906951286262
Lambda_b0 (147),55204.0,1.191469009373937
Lambda_bbar0 (54),54100.0,1.1676413558280196
Xi_c0 (126),26827.0,0.5790076645618906
Xi_c+ (131),26636.0,0.5748853078342907
Xi_cbar0 (75),26278.0,0.5671585868474806
Xi_cbar- (70),26175.0,0.5649355358373089
B_sbar0 (85),13947.0,0.3010183731928538
B_s0 (116),13908.0,0.3001766354317208
Xi_b- (148),5496.0,0.1186202752611977
Xi_b0 (154),5476.0,0.11818861487087311
Xi_bbar0 (47),5427.0,0.11713104691457786
Xi_bbar+ (53),5398.0,0.1165051393486072
Omega_c0 (136),3147.0,0.06792176241757444
Omega_cbar0 (65),3000.0,0.0647490585486887
UNMAPPED/kMultiplyHeavy,2146.0,0.04631715988182865
Omega_b- (160),718.0,0.015496608012652829
UNMAPPED/kExcludedExcited,680.0,0.014676453271036106
Omega_bbar+ (41),676.0,0.014590121192971187
