category,category_name,from_species,from_closure,difference,relative
0,kCentralGround,2698345.0,2698345.0,0.0,0.0
2,kMultiplyHeavy,2146.0,2146.0,0.0,0.0
4,kExcludedVector,1849847.0,1849847.0,0.0,0.0
5,kExcludedExcited,82934.0,82934.0,0.0,0.0
