observable,total,share_pct
D0 (104),1183274.0,25.585431227669286
Dbar0 (97),1180190.0,25.518747205282136
D+ (101),435658.0,9.42004793292504
D- (100),434948.0,9.404695904424758
Lambda_c+ (124),261052.0,5.644616540924184
Lambda_cbar- (77),257696.0,5.572051178041151
D_s- (94),161458.0,3.491137771266019
D_s+ (107),160875.0,3.4785318098355043
B+ (113),68923.0,1.4902927610212429
Bbar0 (91),68841.0,1.4885197098423368
B- (88),68680.0,1.4850384752105823
B0 (110),68206.0,1.4747893744934912
Lambda_b0 (147),55003.0,1.189306512114264
Lambda_bbar0 (54),54415.0,1.1765924378069865
Xi_c+ (131),26798.0,0.5794417742966392
Xi_c0 (126),26476.0,0.5724793050331302
Xi_cbar0 (75),26396.0,0.5707494990049291
Xi_cbar- (70),26101.0,0.5643708392759378
B_sbar0 (85),13845.0,0.29936455575554033
B_s0 (116),13590.0,0.2938507990406496
Xi_bbar+ (53),5640.0,0.12195132498817245
Xi_b- (148),5616.0,0.12143238317971214
Xi_b0 (154),5407.0,0.11691326493103696
Xi_bbar0 (47),5319.0,0.11501047830001583
Omega_c0 (136),3095.0,0.06692187071602726
Omega_cbar0 (65),3087.0,0.06674889011320716
UNMAPPED/kMultiplyHeavy,2103.0,0.04547227596633451
Omega_b- (160),725.0,0.015676367130571814
Omega_bbar+ (41),692.0,0.01496282214393889
UNMAPPED/kExcludedExcited,687.0,0.014854709267176325
