observable,total,share_pct
D0 (104),1184731.0,25.401559045018995
Dbar0 (97),1182134.0,25.345877334284733
D+ (101),437460.0,9.379484473550544
D- (100),437076.0,9.37125121328025
Lambda_cbar- (77),238919.0,5.122610183642442
Lambda_c+ (124),238268.0,5.108652234590457
D_s+ (107),190685.0,4.0884355068783105
D_s- (94),189639.0,4.066008448954537
B- (88),66044.0,1.4160350033629867
B+ (113),65316.0,1.4004261141005516
Bbar0 (91),65224.0,1.3984535621607934
B0 (110),64875.0,1.3909707292588844
Lambda_bbar0 (54),50784.0,1.0888486707465617
Lambda_b0 (147),50537.0,1.0835527976039496
Xi_c+ (131),32380.0,0.6942525196670932
Xi_c0 (126),31936.0,0.6847328124795643
Xi_cbar- (70),31751.0,0.6807662678180938
Xi_cbar0 (75),31471.0,0.6747628488710035
B_s0 (116),15352.0,0.3291588845561833
B_sbar0 (85),15324.0,0.3285585426614743
Xi_b- (148),6629.0,0.14213094357236447
Xi_bbar+ (53),6546.0,0.14035135867019125
Xi_b0 (154),6438.0,0.13803575421917066
Xi_bbar0 (47),6388.0,0.13696371512147595
Omega_c0 (136),6253.0,0.13406920955770024
Omega_cbar0 (65),5925.0,0.12703663307682297
UNMAPPED/kMultiplyHeavy,2719.0,0.05829748613263825
Omega_b- (160),1258.0,0.02697250369799887
Omega_bbar+ (41),1124.0,0.024099438916177048
UNMAPPED/kExcludedExcited,823.0,0.017645763548054902
