semantic_id,center_status,uncertainty_status,reason_codes
f60f0e7d44001f44ee0edef4887d6085903eb5d8170da847981efe7ce24ba5d0,UNSTABLE_DENOMINATOR,WITHHELD_UNCERTAINTY,"[""DENOMINATOR_STATISTICALLY_UNRESOLVED:REFERENCE_MONASH_RATIO_NUMERATOR""]"
5fbc6f0b64b4d4c9451433c39b3a323f469157ced87446254428cd3e365ae18a,UNSTABLE_DENOMINATOR,WITHHELD_UNCERTAINTY,"[""LEAVE_DENOMINATOR_NUMERICALLY_UNRESOLVED:REFERENCE_MONASH_RATIO_NUMERATOR:2""]"
8acc8bcb84a4cdb6b756544a1ca7e2246fb64540d360d890c80f9b539346a4a2,UNSTABLE_DENOMINATOR,WITHHELD_UNCERTAINTY,"[""LEAVE_DENOMINATOR_NUMERICALLY_UNRESOLVED:REFERENCE_MONASH_RATIO_NUMERATOR:2""]"
d094279bf837a01d95442da2694babb9b42356dee1baefb6b64eb20bed641ab4,UNSTABLE_DENOMINATOR,WITHHELD_UNCERTAINTY,"[""DENOMINATOR_STATISTICALLY_UNRESOLVED:REFERENCE_MONASH_RATIO_NUMERATOR""]"
174a0d960c9d15e36f70957e4f44abd3a3eeecab5baf084e2a8ea95cffe247bf,UNSTABLE_DENOMINATOR,WITHHELD_UNCERTAINTY,"[""DENOMINATOR_STATISTICALLY_UNRESOLVED:REFERENCE_MONASH_RATIO_NUMERATOR""]"
48aa5d4e6488b9f6ea44dad173d859ba3087f8632a2af83eab950fa890376861,UNSTABLE_DENOMINATOR,WITHHELD_UNCERTAINTY,"[""DENOMINATOR_STATISTICALLY_UNRESOLVED:REFERENCE_MONASH_RATIO_NUMERATOR""]"
eed4d939b14e116cc08733f247c816580eccd9b176bd951040bbdff3798e95d1,UNSTABLE_DENOMINATOR,WITHHELD_UNCERTAINTY,"[""DENOMINATOR_STATISTICALLY_UNRESOLVED:REFERENCE_MONASH_RATIO_NUMERATOR""]"
d79ff32d8dfb38aa96447c15c63db2b518f02fb3288da35adddbc2925998ea37,UNSTABLE_DENOMINATOR,WITHHELD_UNCERTAINTY,"[""DENOMINATOR_STATISTICALLY_UNRESOLVED:REFERENCE_MONASH_RATIO_NUMERATOR""]"
038993bce968ddda18172f6665203112bd9a7655059638329f58dda355104fe3,UNSTABLE_DENOMINATOR,WITHHELD_UNCERTAINTY,"[""DENOMINATOR_STATISTICALLY_UNRESOLVED:REFERENCE_MONASH_RATIO_NUMERATOR""]"
462db52e96504f7c022a202219f3595c69a363dc72a86dbd4c14c84e10c8acb8,UNSTABLE_DENOMINATOR,WITHHELD_UNCERTAINTY,"[""DENOMINATOR_STATISTICALLY_UNRESOLVED:REFERENCE_MONASH_RATIO_NUMERATOR""]"
82bd3294bf0d276bda05bd5ea190fdc6935d14fa0908f8498b734dec24c51ab5,UNSTABLE_DENOMINATOR,WITHHELD_UNCERTAINTY,"[""DENOMINATOR_STATISTICALLY_UNRESOLVED:REFERENCE_MONASH_RATIO_NUMERATOR""]"
0723e68877c33b651ae5648652cd2b59beb7391c6f5dc02740245c09babb1125,UNSTABLE_DENOMINATOR,WITHHELD_UNCERTAINTY,"[""DENOMINATOR_STATISTICALLY_UNRESOLVED:REFERENCE_MONASH_RATIO_NUMERATOR""]"
8fcd26aa12a1312c01e663c052b8f2c296461390769d0cc8185111fb113d8330,UNSTABLE_DENOMINATOR,WITHHELD_UNCERTAINTY,"[""DENOMINATOR_STATISTICALLY_UNRESOLVED:REFERENCE_MONASH_RATIO_NUMERATOR""]"
e5405da1dbf22275cfa203146e6a3806ff313437c0089395f30143a4be934dd5,UNSTABLE_DENOMINATOR,WITHHELD_UNCERTAINTY,"[""DENOMINATOR_STATISTICALLY_UNRESOLVED:REFERENCE_MONASH_RATIO_NUMERATOR""]"
59de21e9ec7ef313da08d74a5fe7efee906360aacad3192f692bf7227ce9a7e8,UNSTABLE_DENOMINATOR,WITHHELD_UNCERTAINTY,"[""DENOMINATOR_STATISTICALLY_UNRESOLVED:REFERENCE_MONASH_RATIO_NUMERATOR""]"
0914b476079de215d79227f2805fc6fc42942e10d91f74c52446550b00335fc8,UNSTABLE_DENOMINATOR,WITHHELD_UNCERTAINTY,"[""DENOMINATOR_STATISTICALLY_UNRESOLVED:REFERENCE_MONASH_RATIO_NUMERATOR""]"
a3e54369ccd20a78222555d4999e80e790f8193981377112bec13263b3a9b901,UNSTABLE_DENOMINATOR,WITHHELD_UNCERTAINTY,"[""DENOMINATOR_STATISTICALLY_UNRESOLVED:REFERENCE_MONASH_RATIO_NUMERATOR""]"
2a17727fef0242f3a4a0cb38094e8b4a13ddefd0174bbcc3047d24ca40b28bd8,UNSTABLE_DENOMINATOR,WITHHELD_UNCERTAINTY,"[""LEAVE_DENOMINATOR_NUMERICALLY_UNRESOLVED:REFERENCE_MONASH_RATIO_NUMERATOR:7""]"
b02f10791f0a575800ec670adfa6a6e5a3906b36d21616815b091b52c73c6ab7,UNSTABLE_DENOMINATOR,WITHHELD_UNCERTAINTY,"[""LEAVE_DENOMINATOR_NUMERICALLY_UNRESOLVED:REFERENCE_MONASH_RATIO_NUMERATOR:7""]"
9a2bf84ca14b4f82f2e379631d7dfe99fdcad257ed24331ff8a67737e39d1636,UNSTABLE_DENOMINATOR,WITHHELD_UNCERTAINTY,"[""LEAVE_DENOMINATOR_NUMERICALLY_UNRESOLVED:REFERENCE_MONASH_RATIO_NUMERATOR:7""]"
7f015464e7a212dacb8594bc613bfc2cb126d8e062064bb7ea32af196d4888a3,UNSTABLE_DENOMINATOR,WITHHELD_UNCERTAINTY,"[""LEAVE_DENOMINATOR_NUMERICALLY_UNRESOLVED:REFERENCE_MONASH_RATIO_NUMERATOR:7""]"
d1409c9b0b17a4305f83cded5d279504dd3167131d72c058e21a1b621e6f4bd4,UNSTABLE_DENOMINATOR,WITHHELD_UNCERTAINTY,"[""DENOMINATOR_STATISTICALLY_UNRESOLVED:REFERENCE_MONASH_RATIO_NUMERATOR""]"
3f7d806f927ad3d471ce502d47200eff833142dee35c5081b8d0e7477ee5a7ff,UNSTABLE_DENOMINATOR,WITHHELD_UNCERTAINTY,"[""DENOMINATOR_STATISTICALLY_UNRESOLVED:REFERENCE_MONASH_RATIO_NUMERATOR""]"
