flavour,trigger,associate,tune,class,nominal_yield,combined_percent,combined_absolute,source,abs_delta_percent,sem_percent,contribution_percent,quoted_arm,dropped
BEAUTY,B^{+},B-,CLOSEPACKING,c1,0.10639730639730641,11.412300661849658,0.012142380502170006,S1a_mur,7.03448860759495,4.6090523589942354,7.03448860759495,HF_SYS_MUR_UP,no
BEAUTY,B^{+},B-,CLOSEPACKING,c1,0.10639730639730641,11.412300661849658,0.012142380502170006,S1b_muf,1.8621772151898872,8.1790101155717458,8.1790101155717458,HF_SYS_MUF_UP,yes
BEAUTY,B^{+},B-,CLOSEPACKING,c1,0.10639730639730641,11.412300661849658,0.012142380502170006,S2_pdf,7.9585601265822632,4.0642981740437634,7.9585601265822632,HF_SYS_PDF_CTEQ6L1,no
BEAUTY,B^{+},B-,CLOSEPACKING,c1,0.10639730639730641,11.412300661849658,0.012142380502170006,S3_pthat,3.6717974683544199,4.1734754267451857,4.1734754267451857,HF_SYS_PTHAT_4,no
BEAUTY,B^{+},B-,CLOSEPACKING,c1,0.10639730639730641,11.412300661849658,0.012142380502170006,S5_class_migration,0,0,0,,no
BEAUTY,B^{+},B-,CLOSEPACKING,c2,0.10475919990262503,13.906437585408334,0.014568272749431697,S1a_mur,5.6382636638264572,5.1394760316903483,5.6382636638264572,HF_SYS_MUR_DOWN,no
BEAUTY,B^{+},B-,CLOSEPACKING,c2,0.10475919990262503,13.906437585408334,0.014568272749431697,S1b_muf,3.3713507745933748,5.3137479646433068,5.3137479646433068,HF_SYS_MUF_UP,yes
BEAUTY,B^{+},B-,CLOSEPACKING,c2,0.10475919990262503,13.906437585408334,0.014568272749431697,S2_pdf,10.412259837335444,4.7079076751168731,10.412259837335444,HF_SYS_PDF_CTEQ6L1,no
BEAUTY,B^{+},B-,CLOSEPACKING,c2,0.10475919990262503,13.906437585408334,0.014568272749431697,S3_pthat,7.2927247482572026,4.1052756135789741,7.2927247482572026,HF_SYS_PTHAT_4,no
BEAUTY,B^{+},B-,CLOSEPACKING,c2,0.10475919990262503,13.906437585408334,0.014568272749431697,S5_class_migration,0,0,0,,no
