observable,total,share_pct
D0 (104),1183762.0,25.56251539943738
Dbar0 (97),1181703.0,25.51805272940114
D+ (101),436035.0,9.415871942327662
D- (100),434685.0,9.386719633173255
Lambda_c+ (124),262123.0,5.660363505541422
Lambda_cbar- (77),257841.0,5.567896699764255
D_s- (94),162531.0,3.5097436734630416
D_s+ (107),161692.0,3.491626053181154
Bbar0 (91),69211.0,1.4945633102857336
B0 (110),68956.0,1.489056763001012
B+ (113),68893.0,1.4876963219071397
B- (88),68648.0,1.4824057176531915
Lambda_b0 (147),55134.0,1.1905803058660276
Lambda_bbar0 (54),54028.0,1.1666970066624904
Xi_c+ (131),26827.0,0.5793103686557827
Xi_c0 (126),26594.0,0.5742788960387626
Xi_cbar- (70),26295.0,0.5678221994186382
Xi_cbar0 (75),26150.0,0.564691025472424
B_s0 (116),13828.0,0.2986060229534485
B_sbar0 (85),13627.0,0.2942655680349033
Xi_b- (148),5578.0,0.12045302256539889
Xi_b0 (154),5534.0,0.11950287322999596
Xi_bbar0 (47),5464.0,0.1179912720145822
Xi_bbar+ (53),5418.0,0.11699793407302458
Omega_c0 (136),3144.0,0.06789248887515491
Omega_cbar0 (65),2971.0,0.0641566744427752
UNMAPPED/kMultiplyHeavy,2066.0,0.04461383015778309
UNMAPPED/kExcludedExcited,761.0,0.016433264641855246
Omega_bbar+ (41),707.0,0.01526717227567892
Omega_b- (160),645.0,0.01392832548488388
