category,category_name,from_species,from_closure,difference,relative
0,kCentralGround,2814420.0,2814420.0,0.0,0.0
4,kExcludedVector,2494271.0,2494271.0,0.0,0.0
5,kExcludedExcited,54021.0,54021.0,0.0,0.0
